article;name;hex;brand
Аквамариновый?;Аквамариновый?;#94baae;Scale color?
Аметистовый?;Аметистовый?;#cda9cc;Scale color?
Бордовый?;Бордовый?;#944e40;Scale color?
Графитовый?;Графитовый?;#4a4c50;Scale color?
Зеленое море?;Зеленое море?;#009948;Scale color?
Изумрудно-зелёный?;Изумрудно-зелёный?;#007e43;Scale color?
Изумрудный?;Изумрудный?;#0f775e;Scale color?
Кедрово-зелёный?;Кедрово-зелёный?;#445a46;Scale color?
Кирпичный?;Кирпичный?;#b47053;Scale color?
Коричнево-малиновый;Коричнево-малиновый;#cb433f;Scale color?
Коричнево-черный;Коричнево-черный;#4d403d;Scale color?
Коричневый?;Коричневый?;#87543e;Scale color?
Лиловый?;Лиловый?;#d19faf;Scale color?
Медно-оранжевый;Медно-оранжевый;#be5d49;Scale color?
Мурена?;Мурена?;#0fc2b6;Scale color?
Небесно-голубой;Небесно-голубой;#4f94c8;Scale color?
Оливковый?;Оливковый?;#71743e;Scale color?
Персиковый?;Персиковый?;#f3a989;Scale color?
Песочный?;Песочный?;#a99073;Scale color?
Пихтовый зелёный?;Пихтовый зелёный?;#275e45;Scale color?
Пустынный?;Пустынный?;#b29173;Scale color?
Салатовый?;Салатовый?;#67cf9a;Scale color?
Светло-бежевый;Светло-бежевый;#efd4b6;Scale color?
Светло-кофейный;Светло-кофейный;#c1a292;Scale color?
Светло-серый;Светло-серый;#bcbeb0;Scale color?
Светло-телесно-розовый;Светло-телесно-розовый;#f4cdc9;Scale color?
Серо-буро-малиноый;Серо-буро-малиноый;#c088ad;Scale color?
Серо-коричневый;Серо-коричневый;#8e776b;Scale color?
Серо-оливковый?;Серо-оливковый?;#b79f90;Scale color?
Серо-синий;Серо-синий;#455670;Scale color?
Серый?;Серый?;#afaca0;Scale color?
Сине-сиреневый?;Сине-сиреневый?;#8d5f83;Scale color?
Синий?;Синий?;#0370b6;Scale color?
Телесный?;Телесный?;#e8bd92;Scale color?
Телесно-розовый;Телесно-розовый;#f6baba;Scale color?
Темно-коралловый;Темно-коралловый;#e15b49;Scale color?
Темно-кофейный;Темно-кофейный;#8e786b;Scale color?
Темно-красно-оранжевый;Темно-красно-оранжевый;#f65751;Scale color?
Темно-синий;Темно-синий;#2e4a63;Scale color?
Темно-телесный;Темно-телесный;#e6ad75;Scale color?
Темно-телесно-розовый;Темно-телесно-розовый;#d58f85;Scale color?
Трасниково-зеленый;Трасниково-зеленый;#786645;Scale color?
Фисташковый?;Фисташковый?;#a5a05b;Scale color?
Фиолетовый-крайола?;Фиолетовый-крайола?;#c2b8d9;Scale color?
Хаки?;Хаки?;#a48669;Scale color?
Черновато-зеленый;Черновато-зеленый;#4f4f4c;Scale color?
UA541?;UA541?;#EBEBEB;LifeColor
LC04;LC04;#f7880f;LifeColor
LC12;LC12;#0f6338;LifeColor
LC15;LC15;#bf9c48;LifeColor
LC24;LC24;#a8a8a8;LifeColor
LC25?;LC25?;#f5c689;LifeColor
LC26?;LC26?;#7d7d7d;LifeColor
LC29?;LC29?;#f3ef15;LifeColor
LC73?;LC73?;#f7f7f7;LifeColor
LC74;LC74;#a6a6a6;LifeColor
LC75;LC75;#c3a465;LifeColor
LC78?;LC78?;#a75851;LifeColor
LC73;LC73;#f7f7f7;LifeColor
LC12;LC12;#0f6338;LifeColor
Железно-серый;Железно-серый;#565a5f;BRIL
Песочно-белый;Песочно-белый;#caad81;BRIL
Травяной зеленый;Травяной зеленый;#568440;BRIL
Розовый;Розовый;#ce83a7;BRIL
Белый;Белый;#ffffff;BRIL
Хаки;Хаки;#937026;BRIL
Бордово-фиолетовый;Бордово-фиолетовый;#9e6091;BRIL
Слоновая кость;Слоновая кость;#d7c8b0;BRIL
Германский серый;Германский серый;#556f7f;BRIL
Сине-сиреневый;Сине-сиреневый;#9e85b0;BRIL
Защитный-зеленый;Защитный-зеленый;#535f59;BRIL
Глиняный;Глиняный;#854912;BRIL
01.155?;01.155?;#5e352f;Jim Scale
01.156?;01.156?;#ab502d;Jim Scale
01.197?;01.197?;#f1f2ec;Jim Scale
01.199?;01.199?;#90a57a;Jim Scale
01.250?;01.250?;#413121;Jim Scale
01.255?;01.255?;#5f221f;Jim Scale
01.258?;01.258?;#434f43;Jim Scale
01.532;01.532;#08a2c7;Jim Scale
01.534;01.534;#d8e7e2;Jim Scale
01.535;01.535;#aacfd5;Jim Scale
01.536;01.536;#9bb1b7;Jim Scale
01.537;01.537;#3abfcb;Jim Scale
01.538;01.538;#08a7aa;Jim Scale
01.539;01.539;#087569;Jim Scale
01.593?;01.593?;#757a78;Jim Scale
01.663?;01.663?;#93b3c1;Jim Scale
01.664;01.664;#5b9ab7;Jim Scale
01.665;01.665;#355360;Jim Scale
01.668?;01.668?;#8eb4b5;Jim Scale
01.669?;01.669?;#9eb1bc;Jim Scale
01.671?;01.671?;#8c979a;Jim Scale
01.691?;01.691?;#9eb1ba;Jim Scale
01.692?;01.692?;#abb1b6;Jim Scale
05.070;05.070;#fffe54;Jim Scale
05.2157;05.2157;#9e8545;Jim Scale
05.230?;05.230?;#8f4626;Jim Scale
05.2404?;05.2404?;#c1b5cb;Jim Scale
05.253?;05.253?;#413121;Jim Scale
05.255?;05.255?;#661b18;Jim Scale
05.2840?;05.2840?;#795729;Jim Scale
05.2915;05.2915;#523c63;Jim Scale
05.2921;05.2921;#b68536;Jim Scale
05.2922;05.2922;#4c7555;Jim Scale
05.2925;05.2925;#8a815a;Jim Scale
05.2928;05.2928;#a2664c;Jim Scale
05.2939;05.2939;#235f91;Jim Scale
05.2939;05.2939;#235f91;Jim Scale
05.2945;05.2945;#000000;Jim Scale
05.2946;05.2946;#736f6e;Jim Scale
05.2965;05.2965;#b6aebb;Jim Scale
05.2967;05.2967;#d43841;Jim Scale
05.2968;05.2968;#f75f50;Jim Scale
05.323;05.323;#625914;Jim Scale
